communityID,province,city,urban_nbs
0101041,云南省,保山市,0
0101042,云南省,保山市,1
0101043,云南省,保山市,0
0102061,云南省,楚雄彝族自治州,0
0102062,云南省,楚雄彝族自治州,0
0102063,云南省,楚雄彝族自治州,0
0102331,云南省,楚雄彝族自治州,0
0102332,云南省,楚雄彝族自治州,0
0102333,云南省,楚雄彝族自治州,0
0104461,云南省,昭通市,1
0104462,云南省,昭通市,1
0104463,云南省,昭通市,0
0104511,云南省,昭通市,0
0104512,云南省,昭通市,0
0104513,云南省,昭通市,0
0140311,云南省,昆明市,1
0140312,云南省,昆明市,0
0140313,云南省,昆明市,1
0140511,云南省,昆明市,1
0140512,云南省,昆明市,1
0140513,云南省,昆明市,0
0146431,云南省,临沧市,1
0146432,云南省,临沧市,1
0146433,云南省,临沧市,0
0182061,云南省,丽江市,0
0182062,云南省,丽江市,1
0182063,云南省,丽江市,0
0304761,福建省,漳州市,1
0304762,福建省,漳州市,0
0304763,福建省,漳州市,0
0311061,福建省,莆田市,0
0311062,福建省,莆田市,0
0311063,福建省,莆田市,0
0340431,福建省,福州市,0
0340432,福建省,福州市,1
0340433,福建省,福州市,0
0346761,福建省,宁德市,0
0346762,福建省,宁德市,0
0346763,福建省,宁德市,0
0467461,青海省,海东地区,0
0467462,青海省,海东地区,0
0467463,青海省,海东地区,0
0516061,四川省,广安市,0
0516062,四川省,广安市,0
0516063,四川省,广安市,0
0540541,四川省,成都市,1
0540542,四川省,成都市,1
0540543,四川省,成都市,1
0542491,四川省,凉山彝族自治州,0
0542492,四川省,凉山彝族自治州,0
0542493,四川省,凉山彝族自治州,1
0560431,四川省,南充市,0
0560432,四川省,南充市,0
0560433,四川省,南充市,0
0560591,四川省,南充市,0
0560592,四川省,南充市,0
0560593,四川省,南充市,0
0563021,四川省,宜宾市,1
0563022,四川省,宜宾市,1
0563023,四川省,宜宾市,0
0563461,四川省,宜宾市,0
0563462,四川省,宜宾市,1
0563463,四川省,宜宾市,1
0566041,四川省,资阳市,0
0566042,四川省,资阳市,0
0566043,四川省,资阳市,1
0574571,四川省,内江市,0
0574572,四川省,内江市,0
0574573,四川省,内江市,0
0576331,四川省,甘孜藏族自治州,0
0576332,四川省,甘孜藏族自治州,0
0576333,四川省,甘孜藏族自治州,0
0582021,四川省,绵阳市,1
0582022,四川省,绵阳市,0
0582023,四川省,绵阳市,1
0586591,四川省,眉山市,0
0586592,四川省,眉山市,1
0586593,四川省,眉山市,0
0604401,河北省,保定市,0
0604402,河北省,保定市,0
0604403,河北省,保定市,0
0604811,河北省,保定市,0
0604812,河北省,保定市,0
0604813,河北省,保定市,0
0640281,河北省,石家庄市,1
0640282,河北省,石家庄市,1
0640283,河北省,石家庄市,1
0640331,河北省,石家庄市,0
0640332,河北省,石家庄市,0
0640333,河北省,石家庄市,0
0646041,河北省,沧州市,1
0646042,河北省,沧州市,1
0646043,河北省,沧州市,1
0655461,河北省,承德市,0
0655462,河北省,承德市,0
0655463,河北省,承德市,0
0724281,江西省,景德镇市,1
0724282,江西省,景德镇市,1
0724283,江西省,景德镇市,1
0740021,江西省,南昌市,0
0740022,江西省,南昌市,0
0740023,江西省,南昌市,0
0740041,江西省,南昌市,1
0740042,江西省,南昌市,1
0740043,江西省,南昌市,1
0740571,江西省,南昌市,1
0740572,江西省,南昌市,1
0740573,江西省,南昌市,1
0746311,江西省,宜春市,0
0746312,江西省,宜春市,0
0746313,江西省,宜春市,0
0749811,江西省,上饶市,1
0749812,江西省,上饶市,1
0749813,江西省,上饶市,0
0753761,江西省,九江市,0
0753762,江西省,九江市,1
0753763,江西省,九江市,1
0755041,江西省,吉安市,1
0755042,江西省,吉安市,1
0755043,江西省,吉安市,1
0782331,江西省,赣州市,0
0782332,江西省,赣州市,0
0782333,江西省,赣州市,1
0896761,新疆维吾尔自治区,阿克苏地区,0
0896762,新疆维吾尔自治区,阿克苏地区,1
0896763,新疆维吾尔自治区,阿克苏地区,1
0940041,北京,北京,1
0940042,北京,北京,1
0940043,北京,北京,1
1017911,内蒙古自治区,锡林郭勒盟,0
1017912,内蒙古自治区,锡林郭勒盟,1
1017913,内蒙古自治区,锡林郭勒盟,0
1040041,内蒙古自治区,呼和浩特市,1
1040042,内蒙古自治区,呼和浩特市,1
1040043,内蒙古自治区,呼和浩特市,1
1051021,内蒙古自治区,兴安盟,1
1051022,内蒙古自治区,兴安盟,1
1051023,内蒙古自治区,兴安盟,1
1053811,内蒙古自治区,赤峰市,1
1053812,内蒙古自治区,赤峰市,0
1053813,内蒙古自治区,赤峰市,1
1082061,内蒙古自治区,呼伦贝尔市,0
1082062,内蒙古自治区,呼伦贝尔市,0
1082063,内蒙古自治区,呼伦贝尔市,0
1082591,内蒙古自治区,呼伦贝尔市,0
1082592,内蒙古自治区,呼伦贝尔市,1
1082593,内蒙古自治区,呼伦贝尔市,1
1101311,江苏省,苏州市,0
1101312,江苏省,苏州市,1
1101313,江苏省,苏州市,0
1111541,江苏省,徐州市,1
1111542,江苏省,徐州市,1
1111543,江苏省,徐州市,1
1127441,江苏省,泰州市,1
1127442,江苏省,泰州市,1
1127443,江苏省,泰州市,1
1146041,江苏省,盐城市,1
1146042,江苏省,盐城市,1
1146043,江苏省,盐城市,0
1160061,江苏省,宿迁市,0
1160062,江苏省,宿迁市,1
1160063,江苏省,宿迁市,0
1174891,江苏省,扬州市,1
1174892,江苏省,扬州市,1
1174893,江苏省,扬州市,0
1182761,江苏省,连云港市,1
1182762,江苏省,连云港市,0
1182763,江苏省,连云港市,0
1224901,重庆市,重庆市,0
1224902,重庆市,重庆市,0
1224903,重庆市,重庆市,1
1240991,重庆市,重庆市,0
1240992,重庆市,重庆市,0
1240993,重庆市,重庆市,0
1340041,甘肃省,兰州市,1
1340042,甘肃省,兰州市,1
1340043,甘肃省,兰州市,1
1349021,甘肃省,定西市,0
1349022,甘肃省,定西市,1
1349023,甘肃省,定西市,0
1355591,甘肃省,平凉市,0
1355592,甘肃省,平凉市,0
1355593,甘肃省,平凉市,0
1382021,甘肃省,张掖市,0
1382022,甘肃省,张掖市,1
1382023,甘肃省,张掖市,0
1411541,黑龙江省,鸡西市,0
1411542,黑龙江省,鸡西市,1
1411543,黑龙江省,鸡西市,0
1424031,黑龙江省,齐齐哈尔市,1
1424032,黑龙江省,齐齐哈尔市,1
1424033,黑龙江省,齐齐哈尔市,1
1440161,黑龙江省,哈尔滨市,1
1440162,黑龙江省,哈尔滨,1
1440163,黑龙江省,哈尔滨市,1
1455281,黑龙江省,佳木斯市,1
1455282,黑龙江省,佳木斯市,1
1455283,黑龙江省,佳木斯市,1
1504781,广东省,佛山市,1
1504782,广东省,佛山市,1
1504783,广东省,佛山市,1
1511561,广东省,深圳市,1
1511562,广东省,深圳市,1
1511563,广东省,深圳市,1
1538591,广东省,潮州市,1
1538592,广东省,潮州市,0
1538593,广东省,潮州市,1
1540441,广东省,广州市,1
1540442,广东省,广州市,0
1540443,广东省,广州市,1
1540581,广东省,广州市,1
1540582,广东省,广州市,1
1540583,广东省,广州市,1
1546281,广东省,茂名市,0
1546282,广东省,茂名市,0
1546283,广东省,茂名市,1
1546311,广东省,茂名市,0
1546312,广东省,茂名市,1
1546313,广东省,茂名市,1
1546761,广东省,茂名市,1
1546762,广东省,茂名市,0
1546763,广东省,茂名市,0
1556761,广东省,清远市,0
1556762,广东省,清远市,1
1556763,广东省,清远市,1
1582311,广东省,江门市,1
1582312,广东省,江门市,1
1582313,广东省,江门市,0
1582781,广东省,江门市,0
1582782,广东省,江门市,1
1582783,广东省,江门市,1
1601041,辽宁省,本溪市,1
1601042,辽宁省,本溪市,1
1601043,辽宁省,本溪市,1
1611591,辽宁省,鞍山市,0
1611592,辽宁省,鞍山市,0
1611593,辽宁省,鞍山市,1
1624311,辽宁省,大连市,1
1624312,辽宁省,大连市,0
1624313,辽宁省,大连市,1
1660061,辽宁省,朝阳市,0
1660062,辽宁省,朝阳市,0
1660063,辽宁省,朝阳市,0
1682311,辽宁省,锦州市,0
1682312,辽宁省,锦州市,0
1682313,辽宁省,锦州市,1
1711591,山西省,阳泉市,0
1711592,山西省,阳泉市,0
1711593,山西省,阳泉市,0
1746431,山西省,忻州市,0
1746432,山西省,忻州市,0
1746433,山西省,忻州市,1
1755311,山西省,运城市,1
1755312,山西省,运城市,0
1755313,山西省,运城市,0
1774021,山西省,临汾市,0
1774022,山西省,临汾市,1
1774023,山西省,临汾市,0
1840371,上海市,上海市,1
1840372,上海市,上海市,1
1840373,上海市,上海市,1
1940371,天津,天津,1
1940372,天津,天津,1
1940373,天津,天津,1
2001041,浙江省,湖州市,1
2001042,浙江省,湖州市,1
2001043,浙江省,湖州市,0
2024541,浙江省,宁波市,0
2024542,浙江省,宁波市,1
2024543,浙江省,宁波市,0
2040281,浙江省,杭州市,1
2040282,浙江省,杭州市,1
2040283,浙江省,杭州市,1
2049061,浙江省,丽水市,0
2049062,浙江省,丽水市,0
2049063,浙江省,丽水市,0
2053041,浙江省,嘉兴市,1
2053042,浙江省,嘉兴市,1
2053043,浙江省,嘉兴市,1
2074061,浙江省,台州市,0
2074062,浙江省,台州市,0
2074063,浙江省,台州市,1
2074281,浙江省,台州市,0
2074282,浙江省,台州市,0
2074283,浙江省,台州市,0
2111541,吉林省,四平市,1
2111542,吉林省,四平市,1
2111543,吉林省,四平市,0
2111761,吉林省,四平市,0
2111762,吉林省,四平市,0
2111763,吉林省,四平市,1
2124281,吉林省,吉林市,1
2124282,吉林省,吉林市,1
2124283,吉林省,吉林市,1
2411161,广西省,桂林市,1
2411162,广西省,桂林市,1
2411163,广西省,桂林市,1
2427021,广西省,河池市,0
2427022,广西省,河池市,0
2427023,广西省,河池市,0
2440561,广西省,南宁市,1
2440562,广西省,南宁市,1
2440563,广西省,南宁市,0
2446041,广西省,玉林市,1
2446042,广西省,玉林市,0
2446043,广西省,玉林市,0
2446761,广西省,玉林市,0
2446762,广西省,玉林市,0
2446763,广西省,玉林市,0
2616761,安徽省,亳州市,0
2616762,安徽省,亳州市,1
2616763,安徽省,亳州市,0
2627281,安徽省,阜阳市,0
2627282,安徽省,阜阳市,0
2627283,安徽省,阜阳市,0
2653591,安徽省,淮南市,0
2653592,安徽省,淮南市,1
2653593,安徽省,淮南市,0
2655761,安徽省,安庆市,0
2655762,安徽省,安庆市,0
2655763,安徽省,安庆市,0
2660591,安徽省,宿州市,1
2660592,安徽省,宿州市,1
2660593,安徽省,宿州市,1
2663061,安徽省,六安市,1
2663062,安徽省,六安市,0
2663063,安徽省,六安市,0
2686061,安徽省,巢湖市,0
2686062,安徽省,巢湖市,1
2686063,安徽省,巢湖市,0
2704021,湖北省,襄樊市,0
2704022,湖北省,襄樊市,0
2704023,湖北省,襄樊市,1
2718061,湖北省,恩施土家族苗族自治州,0
2718062,湖北省,恩施土家族苗族自治州,1
2718063,湖北省,恩施土家族苗族自治州,0
2749511,湖北省,黄冈市,0
2749512,湖北省,黄冈市,1
2749513,湖北省,黄冈市,0
2755591,湖北省,荆门市,0
2755592,湖北省,荆门市,1
2755593,湖北省,荆门市,1
2801541,陕西省,渭南市,0
2801542,陕西省,渭南市,0
2801543,陕西省,渭南市,0
2811041,陕西省,宝鸡市,1
2811042,陕西省,宝鸡市,1
2811043,陕西省,宝鸡市,1
2811161,陕西省,宝鸡市,0
2811162,陕西省,宝鸡市,0
2811163,陕西省,宝鸡市,1
2855021,陕西省,榆林市,0
2855022,陕西省,榆林市,0
2855023,陕西省,榆林市,1
2882511,陕西省,汉中市,1
2882512,陕西省,汉中市,1
2882513,陕西省,汉中市,0
2916761,山东省,滨州市,0
2916762,山东省,滨州市,0
2916763,山东省,滨州市,0
2924581,山东省,青岛市,1
2924582,山东省,青岛市,1
2924583,山东省,青岛市,1
2940281,山东省,济南市,1
2940282,山东省,济南市,1
2940283,山东省,济南市,1
2940991,山东省,济南市,0
2940992,山东省,济南市,0
2940993,山东省,济南市,0
2953311,山东省,枣庄市,0
2953312,山东省,枣庄市,0
2953313,山东省,枣庄市,1
2960061,山东省,临沂市,1
2960062,山东省,临沂市,0
2960063,山东省,临沂市,0
2960811,山东省,临沂市,0
2960812,山东省,临沂市,0
2960813,山东省,临沂市,0
2963311,山东省,聊城市,0
2963312,山东省,聊城市,0
2963313,山东省,聊城市,1
2974391,山东省,威海市,1
2974392,山东省,威海市,0
2974393,山东省,威海市,0
2982451,山东省,潍坊市,1
2982452,山东省,潍坊市,1
2982453,山东省,潍坊市,1
2986311,山东省,德州市,0
2986312,山东省,德州市,0
2986313,山东省,德州市,1
3201461,河南省,安阳市,0
3201462,河南省,安阳市,0
3201463,河南省,安阳市,0
3211161,河南省,洛阳市,1
3211162,河南省,洛阳市,1
3211163,河南省,洛阳市,1
3211311,河南省,洛阳市,1
3211312,河南省,洛阳市,1
3211313,河南省,洛阳市,1
3216591,河南省,周口市,0
3216592,河南省,周口市,1
3216593,河南省,周口市,0
3240451,河南省,郑州市,1
3240452,河南省,郑州市,0
3240453,河南省,郑州市,1
3240781,河南省,郑州市,1
3240782,河南省,郑州市,1
3240783,河南省,郑州市,1
3246811,河南省,濮阳市,0
3246812,河南省,濮阳市,0
3246813,河南省,濮阳市,1
3253061,河南省,平顶山市,0
3253062,河南省,平顶山市,0
3253063,河南省,平顶山市,0
3255541,河南省,焦作市,0
3255542,河南省,焦作市,0
3255543,河南省,焦作市,1
3263461,河南省,信阳市,0
3263462,河南省,信阳市,0
3263463,河南省,信阳市,0
3263591,河南省,信阳市,0
3263592,河南省,信阳市,1
3263593,河南省,信阳市,0
3301021,湖南省,邵阳市,1
3301022,湖南省,邵阳市,0
3301023,湖南省,邵阳市,0
3301311,湖南省,邵阳市,0
3301312,湖南省,邵阳市,0
3301313,湖南省,邵阳市,0
3304041,湖南省,岳阳市,1
3304042,湖南省,岳阳市,1
3304043,湖南省,岳阳市,0
3340021,湖南省,长沙市,1
3340022,湖南省,长沙市,1
3340023,湖南省,长沙市,1
3346311,湖南省,益阳市,0
3346312,湖南省,益阳市,0
3346313,湖南省,益阳市,1
3360591,湖南省,娄底市,0
3360592,湖南省,娄底市,0
3360593,湖南省,娄底市,1
3382311,湖南省,常德市,1
3382312,湖南省,常德市,1
3382313,湖南省,常德市,0
3452331,贵州省,黔南布依族苗族自治州,0
3452332,贵州省,黔南布依族苗族自治州,0
3452333,贵州省,黔南布依族苗族自治州,1
3477631,贵州省,黔东南苗族侗族自治州,0
3477632,贵州省,黔东南苗族侗族自治州,0
3477633,贵州省,黔东南苗族侗族自治州,1
